,City,Cloudiness,Date,Humidity,Lat,Lng,Max_temp,Wind_speed
280,liverpool,40,1572895690,100,53.41,-2.98,9.44,3.1
281,todos santos,75,1572895848,62,23.45,-110.23,31.11,1.5
282,arequipa,64,1572895594,45,-16.4,-71.54,19.0,5.7
283,rovaniemi,90,1572895849,92,66.5,25.72,-10.0,3.1
284,silver city,1,1572895849,13,32.77,-108.28,23.89,6.7
285,grahamstown,23,1572895849,80,-33.31,26.53,19.44,3.13
286,cockburn town,40,1572895849,69,21.46,-71.14,28.0,4.1
287,pavilosta,100,1572895850,100,56.89,21.19,7.0,6.2
288,sitka,33,1572895550,43,37.17,-99.65,15.56,6.26
289,meulaboh,64,1572895850,81,4.14,96.13,25.69,1.33
290,garhi khairo,0,1572895851,30,28.06,67.98,24.72,1.78
291,san juan,0,1572895851,14,-31.54,-68.53,31.28,6.46
292,basco,1,1572895851,61,40.33,-91.2,11.11,4.1
293,bonavista,0,1572895851,67,48.65,-53.11,7.78,2.24
294,bethel,1,1572895851,78,60.79,-161.76,-9.0,10.3
295,komsomolskiy,100,1572895852,94,67.55,63.78,-6.88,9.28
296,la roda,83,1572895852,67,39.21,-2.16,14.0,3.1
297,ovalle,74,1572895852,29,-30.6,-71.2,22.63,3.14
298,naze,40,1572895852,83,5.43,7.07,27.0,2.1
299,ketchikan,90,1572895797,87,55.34,-131.65,12.0,3.6
300,bibiani,100,1572895853,97,6.45,-2.31,22.91,0.49
301,isilkul,0,1572895853,71,54.9,71.26,-4.54,1.24
302,olesno,75,1572895853,81,50.88,18.42,10.0,5.7
303,lucenec,20,1572895854,93,48.33,19.67,7.0,1.5
304,kahului,1,1572895442,58,20.89,-156.47,28.0,2.6
305,piacabucu,36,1572895854,78,-10.41,-36.43,25.48,5.85
306,whitehorse,90,1572895854,74,60.72,-135.06,-1.0,5.7
307,brae,30,1572895854,70,60.4,-1.35,7.0,7.2
308,hanstholm,100,1572895855,91,57.12,8.61,6.11,4.92
309,scarborough,100,1572895826,94,54.28,-0.41,10.56,0.89
310,dickinson,90,1572895855,73,46.88,-102.79,-2.78,3.6
311,savannah bight,40,1572895856,74,16.45,-85.85,30.0,2.1
312,velikiy ustyug,100,1572895856,91,60.76,46.3,-1.47,2.06
313,juneau,90,1572895857,100,58.3,-134.42,6.11,2.1
314,carutapera,11,1572895857,76,-1.2,-46.02,27.66,7.65
315,slavutych,63,1572895857,83,51.52,30.76,13.2,7.11
316,royan,100,1572895857,87,45.62,-1.03,14.0,4.1
317,luhyny,86,1572895857,73,51.08,28.4,12.64,3.85
318,luanda,75,1572895858,78,-8.83,13.24,27.0,4.1
319,santa cruz cabralia,20,1572895858,65,-16.28,-39.02,28.0,8.2
320,nenjiang,46,1572895858,75,49.17,125.23,-5.68,5.54
321,baghdad,0,1572895858,52,33.3,44.38,20.0,3.6
322,promissao,68,1572895858,34,-21.54,-49.86,32.51,3.01
323,grindavik,40,1572895859,86,63.84,-22.43,3.0,5.1
324,altay,33,1572895859,59,47.83,88.13,1.28,2.5
325,chicama,90,1572895859,77,-7.84,-79.15,19.0,5.7
326,dauphin,20,1572895650,48,51.15,-100.04,-6.0,6.7
327,kamenka,29,1572895859,79,48.03,28.7,14.44,6.29
328,hamilton,75,1572895860,53,43.26,-79.87,12.78,12.3
329,vardo,1,1572895860,26,39.62,-77.74,15.56,8.2
330,fort nelson,90,1572895860,79,58.81,-122.69,-3.0,3.1
331,kutulik,100,1572895860,73,53.35,102.79,-5.48,1.41
332,iquique,20,1572895861,60,-20.22,-70.14,20.0,7.2
333,ulety,100,1572895861,57,51.36,112.48,-8.13,0.97
334,astana,90,1572895861,92,51.13,71.43,-1.0,3.0
335,hongjiang,0,1572895861,82,27.21,109.83,10.05,0.96
336,paulo ramos,58,1572895861,58,-4.45,-45.24,29.44,1.48
337,banda aceh,24,1572895862,86,5.56,95.32,22.12,1.57
338,slupca,6,1572895862,92,52.29,17.87,10.56,3.13
339,loandjili,40,1572895862,83,-4.77,11.87,26.0,1.5
340,marrakesh,0,1572895862,56,31.63,-7.99,22.0,2.1
341,port-cartier,75,1572895862,51,50.03,-66.88,4.44,5.7
342,matai,20,1572895863,52,-8.3,31.52,21.0,3.1
343,margate,20,1572895773,70,-43.03,147.26,6.67,4.1
344,makakilo city,1,1572895863,78,21.35,-158.09,27.78,2.1
345,kimbe,100,1572895864,97,-5.56,150.15,19.86,1.1
346,padang,73,1572895864,92,-0.92,100.36,17.91,0.91
347,obama,5,1572895864,85,35.49,135.74,10.0,4.67
348,jishou,81,1572895864,84,28.26,109.7,10.49,1.19
349,codrington,0,1572895865,88,-28.95,153.24,19.44,2.6
350,warrington,40,1572895865,100,53.39,-2.59,9.44,3.1
351,pochutla,20,1572895865,62,15.74,-96.47,32.22,2.69
352,aklavik,75,1572895865,73,68.22,-135.01,-5.0,3.1
353,sheridan,40,1572895682,52,39.65,-105.03,11.11,3.6
354,magdagachi,100,1572895866,91,53.45,125.8,-8.44,4.4
355,fairview,75,1572895866,73,56.07,-118.38,-1.11,2.6
356,sisimiut,100,1572895867,68,66.94,-53.67,-5.72,2.06
357,kununurra,40,1572895867,83,-15.77,128.74,25.0,3.1
358,beringovskiy,1,1572895634,82,63.05,179.32,-1.0,2.08
359,yangjiang,0,1572895867,51,21.85,111.96,17.04,2.48
360,eucaliptus,40,1572895868,37,-17.6,-67.51,21.0,4.1
361,eirunepe,92,1572895868,91,-6.66,-69.87,24.83,1.09
362,doka,0,1572895868,36,13.52,35.76,27.72,2.39
363,avera,75,1572895868,51,33.19,-82.53,19.0,2.22
364,ventspils,90,1572895868,93,57.39,21.56,6.0,7.7
365,shepsi,69,1572895869,53,44.04,39.15,17.19,5.31
366,pesochnoye,100,1572895869,91,58.01,39.18,8.84,6.52
367,tamandare,55,1572895869,59,-8.28,-70.75,29.62,2.17
368,shahreza,0,1572895869,60,32.01,51.87,7.22,1.6
369,jumla,0,1572895869,75,29.28,82.18,1.17,1.73
370,xining,98,1572895870,73,36.62,101.77,1.8,1.47
371,pareora,100,1572895870,97,-44.49,171.21,11.67,1.82
372,biak,33,1572895870,74,-0.91,122.88,26.98,4.09
373,badou,0,1572895871,87,7.58,0.61,23.23,1.13
374,challans,40,1572895871,76,46.85,-1.88,13.0,4.1
375,skibbereen,75,1572895871,87,51.55,-9.27,9.0,7.7
376,englehart,90,1572895871,99,47.82,-79.87,0.0,4.6
377,santiago,91,1572895572,98,16.69,121.54,22.25,0.92
378,san borja,63,1572895872,36,-14.86,-66.75,35.41,2.75
379,atikokan,100,1572895873,84,48.76,-91.62,-1.89,4.51
380,urusha,88,1572895873,71,54.05,122.9,-11.13,4.76
381,udachnyy,75,1572895873,83,66.42,112.4,-26.0,3.0
382,kikwit,100,1572895873,94,-5.04,18.82,22.21,0.56
383,marsa matruh,0,1572895873,78,31.35,27.25,22.0,1.0
384,urengoy,100,1572895874,93,65.96,78.37,-14.67,7.23
385,gohana,0,1572895874,39,29.14,76.7,21.52,1.88
386,melo,100,1572895874,97,-32.37,-54.17,14.28,3.85
387,san policarpo,100,1572895875,86,12.18,125.51,26.62,4.45
388,nouadhibou,0,1572895875,60,20.93,-17.03,24.0,6.7
389,prainha,62,1572895875,52,-1.8,-53.48,31.87,2.03
390,menongue,100,1572895875,87,-14.66,17.68,17.59,3.98
391,madawaska,1,1572895875,41,47.36,-68.32,6.11,6.7
392,vegreville,100,1572895876,83,53.5,-112.05,-2.22,1.34
393,ilulissat,40,1572895876,48,69.22,-51.1,-7.0,2.1
394,erenhot,29,1572895876,69,43.65,111.97,2.02,4.52
395,kargasok,0,1572895876,85,59.06,80.87,-9.28,0.91
396,mikuni,20,1572895877,81,36.22,136.15,8.0,1.5
397,zafarabad,0,1572895877,45,40.39,67.82,3.14,2.35
398,hargeysa,19,1572895877,67,9.56,44.06,18.64,4.97
399,nizhnyaya tavda,36,1572895877,78,57.67,66.17,-5.47,5.54
400,muros,75,1572895878,87,42.77,-9.06,16.11,2.1
401,umm lajj,0,1572895878,36,25.02,37.27,24.36,1.99
402,takoradi,0,1572895878,83,4.89,-1.75,27.22,4.2
403,bonnyville,75,1572895878,53,54.27,-110.74,-4.0,1.5
404,najran,32,1572895879,30,17.54,44.22,22.0,3.1
405,kungurtug,0,1572895879,78,50.6,97.53,-4.85,0.64
406,vila franca do campo,40,1572895721,72,37.72,-25.43,17.0,3.6
407,norman wells,75,1572895879,92,65.28,-126.83,-7.0,6.2
408,cap malheureux,40,1572895880,88,-19.98,57.61,23.89,5.1
409,katherine,90,1572895880,69,-14.47,132.26,26.0,6.2
410,hoopstad,0,1572895880,19,-27.83,25.91,20.93,2.76
411,kashan,0,1572895880,62,33.99,51.44,13.0,0.5
412,vilyuysk,81,1572895881,97,63.75,121.63,-17.54,2.88
413,ambunti,100,1572895881,95,-4.22,142.82,23.08,0.72
414,bar-le-duc,100,1572895881,76,48.77,5.16,11.0,6.7
415,koumac,76,1572895881,61,-20.56,164.28,22.47,2.22
416,tilichiki,100,1572895881,98,60.47,166.1,0.74,5.97
417,viedma,66,1572895882,22,-40.81,-62.99,18.89,6.09
418,duverge,20,1572895882,58,18.38,-71.52,31.0,6.2
419,byron bay,24,1572895882,100,-28.65,153.62,22.22,1.26
420,deming,1,1572895883,15,32.27,-107.76,24.0,4.6
421,portmore,20,1572895883,58,17.97,-76.87,31.0,8.2
422,huanan,69,1572895884,35,46.24,130.56,0.28,3.25
423,the pas,90,1572895596,56,53.82,-101.24,-9.0,7.7
424,pilar,75,1572895884,88,-34.46,-58.91,22.78,3.1
425,slobodskoy,100,1572895884,97,58.73,50.18,3.15,4.94
426,ishigaki,90,1572895884,73,24.34,124.16,24.16,13.36
427,orlik,75,1572895885,100,53.95,17.74,10.56,2.1
428,ust-ilimsk,100,1572895885,73,57.96,102.73,-8.57,1.84
429,marystown,6,1572895885,2,47.17,-55.16,8.33,1.79
430,moussoro,0,1572895885,10,13.64,16.49,31.1,3.05
431,araouane,24,1572895886,15,18.9,-3.53,29.59,4.28
432,ust-barguzin,100,1572895886,67,53.41,109.03,-5.29,3.75
433,arlit,0,1572895886,12,18.74,7.39,30.98,3.69
434,havoysund,75,1572895886,80,71.0,24.66,2.0,13.9
435,miyako,7,1572895887,87,33.63,130.94,10.56,1.0
436,fayaoue,47,1572895887,80,-20.65,166.53,22.95,6.11
437,wellington,0,1572895711,87,-41.29,174.78,14.0,12.3
438,becicherecu mic,20,1572895888,93,45.83,21.05,13.89,2.1
439,makat,0,1572895888,61,47.65,53.35,-2.5,3.9
440,palauig,100,1572895888,78,15.44,119.9,24.85,2.99
441,flin flon,90,1572895889,56,54.77,-101.88,-10.0,7.2
442,san patricio,98,1572895889,52,-26.98,-56.83,31.1,4.08
443,bermejo,62,1572895889,47,-22.73,-64.34,30.31,2.09
444,ust-karsk,86,1572895889,69,52.71,118.82,-11.63,2.14
445,vanavara,42,1572895889,92,60.35,102.28,-18.06,0.88
446,drayton valley,100,1572895708,95,53.22,-114.98,-0.95,2.93
447,acajutla,20,1572895890,66,13.59,-89.83,30.0,2.68
448,takaka,0,1572895891,88,-40.86,172.81,19.44,3.13
449,portland,20,1572895631,45,43.66,-70.25,10.56,6.2
450,pontiac,40,1572895891,57,42.64,-83.29,12.22,6.2
451,angoche,15,1572895891,93,-16.23,39.91,24.17,1.97
452,monrovia,40,1572895892,88,6.33,-10.8,27.0,2.81
453,kilindoni,0,1572895892,75,-7.91,39.67,27.53,4.89
454,frontera comalapa,12,1572895892,69,15.66,-92.14,20.5,2.29
455,pitimbu,40,1572895893,65,-7.47,-34.81,28.0,5.7
456,richards bay,83,1572895678,77,-28.77,32.06,21.38,5.27
457,esperance,23,1572895717,93,-33.86,121.89,10.0,2.1
458,fernie,75,1572895893,65,49.5,-115.06,5.0,1.0
459,cayenne,85,1572895893,66,4.94,-52.33,31.0,5.7
460,qasigiannguit,40,1572895894,48,68.82,-51.19,-7.0,2.1
461,ghanzi,33,1572895894,30,-21.7,21.65,27.03,2.96
462,harper,1,1572895881,50,30.3,-99.24,26.11,5.7
463,antalaha,92,1572895895,78,-14.9,50.28,25.53,2.83
464,diu,4,1572895895,70,20.71,70.98,27.22,3.76
465,wainwright,100,1572895812,49,52.84,-110.86,-2.32,2.33
466,kruisfontein,52,1572895895,89,-34.0,24.73,13.22,4.01
467,antigonish,20,1572895896,78,45.62,-61.99,9.44,4.6
468,camacha,40,1572895896,73,33.08,-16.33,22.0,7.7
469,sioux lookout,90,1572895896,79,50.1,-91.92,-3.0,5.7
470,nanortalik,100,1572895896,79,60.14,-45.24,1.81,22.38
471,canberra,90,1572895806,70,-35.3,149.1,9.0,2.6
472,sandwick,99,1572895815,89,54.57,-2.89,9.44,5.76
473,mahon,75,1572895897,87,51.89,-8.4,9.0,7.7
474,palmas,20,1572895702,44,-10.18,-48.33,34.0,3.1
475,nuuk,90,1572895685,59,64.17,-51.74,0.0,5.7
476,fort beaufort,14,1572895898,95,-32.78,26.63,12.15,2.21
477,gualeguay,34,1572895899,83,-33.15,-59.31,24.0,2.36
478,concarneau,100,1572895899,93,47.88,-3.92,13.33,5.1
479,kloulklubed,90,1572895899,83,7.04,134.26,26.0,8.7
480,curvelo,72,1572895900,52,-18.76,-44.43,27.28,1.63
481,laranjeiras,3,1572895900,62,-10.8,-37.17,29.0,8.7
482,evensk,100,1572895880,82,61.92,159.24,-3.04,6.08
483,am timan,0,1572895901,37,11.04,20.28,25.53,0.95
484,nador,18,1572895901,77,35.17,-2.93,19.0,7.7
485,mackay,90,1572895901,100,53.65,-115.58,0.0,2.6
486,manthani,1,1572895901,85,18.65,79.67,22.78,1.76
487,vagur,98,1572895902,71,61.47,-6.81,5.26,9.84
488,korcula,20,1572895902,82,42.96,17.14,13.0,1.0
489,sinnamary,43,1572895902,81,5.38,-52.96,28.06,7.85
490,owando,52,1572895902,96,-0.49,15.91,21.84,0.12
491,palora,75,1572895902,94,-1.7,-77.97,26.0,1.5
492,cedar city,1,1572895903,14,37.68,-113.06,14.0,1.5
493,leh,0,1572895903,54,34.16,77.58,-4.63,1.45
494,daru,2,1572895903,80,-9.07,143.21,24.88,2.8
495,bereda,20,1572895903,71,43.27,-7.54,12.22,5.1
496,beyneu,0,1572895903,61,45.32,55.19,-0.46,3.31
497,san quintin,59,1572895904,90,17.54,120.52,23.32,1.66
498,leningradskiy,2,1572895904,74,69.38,178.42,-7.57,2.44
499,general roca,67,1572895904,14,-39.03,-67.58,21.0,9.8
500,zaragoza,40,1572895741,59,13.59,-89.29,32.0,2.1
501,yen bai,93,1572895905,76,21.7,104.87,19.78,0.34
502,kovylkino,99,1572895905,73,54.04,43.91,4.1,7.63
503,constitucion,40,1572895905,43,23.99,-104.67,22.0,2.1
504,comodoro rivadavia,75,1572895750,20,-45.87,-67.48,19.0,10.8
505,fare,19,1572895906,76,-16.7,-151.02,26.99,3.14
506,nakapiripirit,86,1572895906,45,1.81,34.71,25.26,3.99
507,moosburg,75,1572895906,93,46.66,14.17,9.44,0.5
508,yeniseysk,59,1572895906,81,58.45,92.17,-6.82,1.67
509,albolote,75,1572895906,67,37.23,-3.66,17.22,1.5
510,boddam,75,1572895907,87,57.47,-1.78,8.0,5.7
511,novopokrovka,60,1572895907,81,49.84,36.56,11.0,6.0
512,chapais,20,1572895907,88,49.78,-74.86,0.0,4.6
513,bonthe,0,1572895907,82,7.53,-12.5,26.56,2.59
514,holme,100,1572895908,93,56.11,10.17,7.0,6.2
515,mehamn,75,1572895908,80,71.03,27.85,2.0,14.4
516,lata,0,1572895908,44,30.78,78.62,-4.73,1.47
517,mogzon,100,1572895909,64,51.74,111.97,-9.09,1.3
518,pyaozerskiy,72,1572895909,73,65.83,31.17,-4.23,5.8
519,bonfim,29,1572895724,42,3.36,-59.84,34.52,4.8
520,shu,100,1572895910,79,43.6,73.76,2.57,1.62
521,ambovombe,0,1572895910,97,-25.18,46.09,20.12,2.44
522,tiznit,97,1572895910,91,29.7,-9.73,13.8,2.09
523,balabac,95,1572895910,77,7.99,117.06,28.0,6.18
524,teguise,20,1572895910,73,29.06,-13.56,22.0,3.1
525,kokopo,100,1572895911,91,-4.34,152.27,25.1,13.2
526,glenwood springs,1,1572895911,31,39.55,-107.33,11.11,9.3
527,gebre guracha,0,1572895911,65,9.8,38.4,13.75,2.17
528,porto nacional,20,1572895911,44,-10.7,-48.41,34.0,3.1
529,basoko,78,1572895912,91,1.23,23.61,21.29,0.8
530,pathein,93,1572895912,91,16.78,94.73,24.25,1.95
531,bilma,0,1572895912,17,18.69,12.92,26.3,2.75
532,temerloh,100,1572895913,97,3.45,102.42,23.23,1.03
533,cabedelo,40,1572895913,65,-6.97,-34.84,28.0,5.7
534,ganta,89,1572895913,94,7.31,-8.54,21.52,0.72
535,punta cardon,96,1572895914,73,11.61,-70.22,29.12,11.45
536,la rioja,0,1572895914,26,-29.41,-66.86,26.38,2.67
537,sao joao da barra,0,1572895914,49,-21.64,-41.05,32.0,2.1
538,rio gallegos,75,1572895915,32,-51.62,-69.22,13.0,13.4
539,hastings,0,1572895915,67,-39.64,176.84,17.5,1.56
540,pimenteiras,99,1572895915,43,-6.24,-41.42,29.51,1.74
541,yining,0,1572895915,79,29.04,114.56,9.71,0.55
542,gornopravdinsk,100,1572895916,76,60.06,69.92,-5.02,6.51
543,santa isabel do rio negro,67,1572895916,59,-0.41,-65.02,31.71,0.95
544,bar harbor,1,1572895916,45,44.39,-68.2,10.0,5.7
545,frontera,75,1572895917,78,18.53,-92.64,28.0,4.1
546,san marcos,20,1572895917,49,14.97,-91.79,33.0,4.1
547,malindi,40,1572895917,83,-3.22,40.12,27.0,2.6
548,llanes,0,1572895917,65,43.42,-4.75,13.33,12.3
549,xuddur,100,1572895918,80,4.12,43.89,24.26,0.82
550,inongo,50,1572895918,88,-1.93,18.29,23.04,0.88
551,boguchany,100,1572895918,87,58.38,97.46,-8.58,1.59
552,moree,48,1572895919,67,-29.46,149.84,15.0,8.2
553,elk city,1,1572895919,39,35.41,-99.4,17.0,5.1
554,hami,93,1572895919,27,42.84,93.51,7.85,0.37
555,at-bashi,100,1572895919,89,41.17,75.81,-6.38,1.22
556,saint-ambroise,75,1572895920,51,48.56,-71.32,4.0,2.6
557,sarkand,100,1572895720,85,45.41,79.91,4.91,4.33
558,hirara,100,1572895920,70,24.8,125.28,24.53,11.68
